geneID	mark
80328	1
6942	2
9744	1
30834	1
956	1
81671	2
604	2
9669	2
10655	1
695	1
3607	1
5994	1
53343	2
51056	2
9855	1
3303	2
3897	1
201255	1
978	1
8558	1
2919	1
8458	1
3091	2
203102	1
8517	1
7128	2
9724	2
6892	2
2766	1
23082	1
171019	1
8148	2
6568	1
5688	2
1499	2
4987	1
2870	1
6434	2
4792	2
51380	1
6752	1
4882	1
2055	1
1908	1
216	2
7163	2
285598	1
10093	2
4921	1
5983	1
1973	2
154007	1
9943	2
4723	2
4137	1
55784	1
49	1
309	2
57222	2
2740	1
329	2
1369	1
3752	1
58478	2
10380	1
5764	2
2658	1
65109	2
2357	1
998	2
29960	2
5777	1
2002	1
373861	1
55706	1
4037	1
7041	1
1488	2
5111	2
10716	1
8932	2
79872	2
5957	1
4851	1
10332	1
766	1
339559	1
2054	2
10632	2
1633	1
197370	2
23054	2
328	2
58533	2
9480	1
8455	2
242	1
1638	1
4331	2
57692	1
8605	1
6299	1
3454	2
5034	2
4627	2
1327	2
2241	2
475	2
2130	2
51227	1
3046	1
10333	1
5870	2
4074	2
5639	1
6469	1
4051	1
3443	1
338	2
26503	1
3565	1
51196	1
7045	2
3422	2
6670	2
6509	1
84910	1
55290	1
347516	1
1656	2
8986	1
898	1
2517	2
4289	2
9120	1
25	2
18	2
80124	2
92799	1
129401	1
3291	1
1958	2
10845	2
6474	1
115761	1
7707	2
3156	2
11117	2
81542	2
51200	1
3097	2
10308	2
169044	1
10738	1
10841	1
3714	1
7517	1
27	1
2077	1
81318	1
9333	1
3308	2
55930	1
90850	1
755	1
5921	2
27109	1
8877	1
2587	1
11338	1
64174	1
9052	1
7692	1
9486	1
8705	1
51738	1
9647	1
6210	2
6492	1
10892	1
1788	2
51231	1
3098	2
116534	1
55288	2
8339	2
4239	2
10905	2
10204	1
1365	1
240	1
10544	2
142	2
6119	1
2252	2
9784	2
89822	1
121512	2
133022	1
10363	2
5261	1
26284	1
56894	2
539	2
2172	1
6495	1
55366	2
4809	2
51773	2
63876	1
83482	1
8854	1
1837	1
51192	1
27124	1
811	2
442425	1
50507	1
864	1
22899	1
4952	2
7936	2
3320	2
1374	1
7434	1
5702	2
8915	1
5696	1
2119	1
6541	1
3120	1
56954	2
144165	1
7415	2
1869	1
159163	1
6045	1
2191	1
1352	1
4297	2
6285	2
1816	1
3682	1
2149	1
8972	1
2979	1
397	2
445815	1
10797	1
8548	2
9903	1
4861	1
3684	1
10939	2
2033	2
84617	2
525	1
5395	1
3606	1
9380	2
53632	1
7556	1
2175	1
51305	1
4720	2
774	1
53938	1
2737	1
353274	2
3987	2
6354	1
29997	2
29947	1
10981	1
113612	1
112802	1
8891	1
57105	1
375519	1
112	1
79987	1
7439	1
57834	1
1409	1
80832	1
51065	2
11103	2
8773	2
53840	1
64924	1
6346	1
84941	1
2299	1
7187	1
6440	1
3620	1
5425	1
55284	2
4985	1
9522	1
5499	2
10927	2
6910	1
4145	1
3292	1
672	1
122953	2
2774	1
55655	1
3957	1
79690	1
2064	1
115584	1
6533	1
5791	1
2519	2
55851	1
23558	2
5869	2
430	1
286046	1
2277	1
160428	1
7305	2
26278	1
3425	1
23626	1
81448	1
57113	1
146547	1
6297	1
585	1
4804	1
11034	2
2688	1
9277	1
5029	1
3214	1
5465	2
51311	1
6915	1
10196	1
7251	2
55669	1
90	2
801	2
171017	1
27242	2
4843	1
57084	1
27299	1
5438	1
51548	1
2034	2
6737	1
11218	2
8892	1
6253	1
116150	2
5588	1
84271	1
7644	2
65264	2
11279	1
81034	2
79587	1
2649	1
10769	2
6523	1
84056	1
10683	1
7547	1
285335	1
8688	1
10648	1
5724	1
1674	2
2258	1
474343	1
23030	1
22882	2
2268	1
6583	1
1051	1
9002	1
56478	2
1743	2
116443	1
112744	1
1027	2
3840	2
81469	1
353345	1
6337	1
5266	1
57468	1
1312	2
5743	1
79654	1
201595	2
25833	1
1813	1
8293	1
6869	1
55815	1
200081	2
3062	1
3107	2
3630	1
5250	2
5214	1
8204	2
2817	1
2167	2
2548	1
11040	1
1749	1
10472	1
27032	2
30827	1
51079	2
8745	1
7694	1
4257	2
9368	1
51720	2
367	1
23235	2
6601	2
29949	1
339500	2
6147	2
3792	1
5950	2
3036	1
114088	1
10521	2
23349	1
2581	1
7443	2
283420	1
1142	1
51400	2
10672	2
1746	1
1852	1
147	1
9469	1
5616	1
2184	1
498	2
80319	1
23410	1
1809	2
10163	2
3805	1
5018	2
920	1
6520	2
53917	1
29114	1
255189	1
9994	2
3706	1
30848	1
26036	2
25937	2
388561	1
7141	1
11069	1
1628	1
56923	1
55214	2
9423	1
3257	1
10864	1
521	2
151295	1
267	2
5601	2
6039	1
3681	1
9088	1
50861	1
5636	1
23326	2
308	2
5293	1
10952	1
10523	1
59307	1
3672	2
9972	1
78992	1
1233	1
29922	2
2052	2
4286	2
415	1
6629	2
10200	2
8428	2
5979	1
60561	1
134	1
9153	1
5048	2
2569	1
23409	1
10040	1
6528	1
3981	2
7003	2
6637	1
164	2
869	1
51540	1
90459	1
2776	2
80345	1
649	1
11221	1
54386	2
59283	1
1398	2
5587	1
8502	2
7743	2
1555	1
241	2
943	1
7728	1
8034	1
285440	2
4644	2
7733	1
3231	1
1174	1
2797	1
26059	1
2053	1
355	1
1795	1
252969	1
9975	2
284004	1
3211	1
55607	1
9219	2
5095	2
6891	1
1002	1
7040	2
9453	1
10206	1
5540	1
27349	1
4045	1
5592	1
22943	1
84569	1
4617	1
91703	1
4665	1
3656	1
1687	1
23355	1
120114	1
26953	1
23529	1
11273	2
6833	1
64768	1
1292	2
83732	2
5663	2
4758	1
4664	2
7579	1
6263	1
55502	1
10992	2
4993	1
7066	1
3757	1
11041	1
8348	1
596	1
29930	1
7178	2
54756	1
150	1
9521	2
2101	1
80761	1
7224	1
2596	1
10014	1
857	2
1959	1
8029	1
285989	1
201798	1
3823	1
4184	1
163081	1
8717	1
6288	2
8609	1
30001	1
1440	1
84679	1
7046	2
5926	2
966	2
1149	1
91748	1
102	2
79977	1
5134	2
4760	1
1663	1
5699	1
10602	1
5959	1
5455	1
939	1
221078	2
140685	1
5984	1
57531	1
114771	1
3665	1
3087	1
10072	1
506	2
9688	1
10268	1
27309	2
79760	1
7301	1
10013	1
8445	2
23471	2
286826	1
6881	2
65251	2
2994	1
11122	1
9739	1
7042	1
81789	1
114790	1
3074	2
414189	1
384	1
4033	1
1366	1
55696	2
7709	1
6884	2
1004	1
8128	1
65993	2
7976	1
10973	1
4065	1
5695	1
5058	2
56704	1
10913	1
7695	2
55260	1
440435	1
5003	1
28316	1
83881	1
83443	1
3881	1
83884	1
56896	1
22803	2
3776	1
8970	1
1340	2
26353	2
7535	1
4056	1
2932	2
7545	1
5892	1
4624	1
23275	1
9312	1
91522	1
1960	1
2692	1
8140	1
7589	1
11272	2
10257	1
6779	1
55738	1
8638	1
10242	1
332	1
5433	1
79658	2
7172	2
342372	1
8878	2
197259	1
80774	1
7475	1
11214	2
4160	1
401138	1
6628	1
726	1
51465	2
6642	2
1075	1
9576	1
6667	2
63978	1
340024	1
2122	1
517	2
50943	1
213	2
64581	1
3236	1
3326	2
25820	2
4829	1
8851	1
5591	2
8301	2
23416	1
282770	1
57709	1
7402	2
57626	1
337880	1
56302	1
4618	1
8682	2
64098	1
10371	1
11278	1
9953	1
25975	1
131405	1
7884	2
3084	1
10440	1
63916	1
7627	1
57134	1
51451	2
166012	1
2166	1
10725	2
6522	1
1407	1
3305	1
7486	2
10189	1
10559	1
9519	1
6387	1
55114	2
3206	1
23762	1
23037	1
7761	1
5586	2
2395	1
23480	2
10248	1
8284	1
1105	2
54928	2
8869	1
10300	1
3574	1
4548	2
4324	1
50814	2
54534	2
80274	1
2044	1
374655	1
7205	1
4312	1
11151	1
759	1
7166	1
7222	1
158586	1
26338	1
5596	1
10690	1
10859	1
1029	1
6004	1
6050	1
925	1
338773	1
6011	1
10269	2
5494	2
55904	2
2535	1
2938	1
6941	1
26740	1
56122	1
2864	1
9759	1
57463	1
22992	2
1933	2
6159	2
476	2
64398	2
64429	2
57231	2
1501	1
3990	1
7374	1
4089	2
1718	2
10114	2
9639	2
7253	1
23607	2
9341	2
167227	2
92703	1
54535	1
64135	2
4438	1
4128	2
288	2
2897	1
4236	2
57717	1
10800	1
81856	2
4515	1
3654	1
2906	1
10164	1
5348	2
9973	2
11105	1
8532	1
5252	1
7710	1
3553	1
8741	1
5970	1
1399	2
84105	2
139065	1
2909	2
112937	1
22918	1
2242	1
2255	1
6517	1
23236	1
5973	1
7058	1
10499	2
51009	1
196	1
1777	1
10890	2
4808	1
9308	1
23440	1
1020	2
5990	1
23251	1
10095	2
2572	1
60506	1
23303	2
3134	2
2934	2
7852	1
6015	1
4036	1
333	1
29953	1
2247	1
64081	1
1994	2
814	1
66037	1
5700	2
55072	1
50831	1
55809	1
3626	1
1141	1
81631	2
1183	1
5241	1
6920	2
8852	1
7763	2
8411	2
3488	2
9361	1
245711	1
10629	1
8491	2
22820	2
55505	2
79840	2
5728	2
60386	1
952	1
89780	1
829	2
29072	2
554	1
3560	1
8313	1
821	2
7297	1
2305	1
5037	2
434	1
373	1
155061	1
10021	1
638	1
4846	1
4939	1
8926	1
8408	1
6900	1
57122	2
7536	2
79758	1
9119	1
23683	2
7580	2
27440	1
8659	1
762	1
995	1
55297	2
4150	2
3832	1
9812	1
1737	2
3777	1
84883	2
8997	1
63971	2
1756	2
10928	2
55207	2
207	1
166	2
3448	1
2962	2
85458	1
6694	1
1109	1
58473	1
25932	2
5976	1
11045	1
80755	2
4588	2
116988	1
720	1
1022	1
5122	1
238	1
9218	2
6194	2
5578	1
50511	1
9124	2
55890	1
8945	2
51780	2
3698	1
7073	2
56731	1
23406	2
55596	1
4696	2
5507	2
27316	1
7566	1
152579	1
7283	1
5858	1
10936	1
142683	1
8331	1
51251	1
1026	1
7274	1
51000	2
2890	1
2009	1
217	2
4600	1
1406	1
200894	1
2873	1
22843	1
25822	2
6622	1
2042	1
3356	1
9187	1
90333	1
151613	2
57605	1
5449	1
389090	1
1943	1
55796	1
9656	2
84068	1
54815	2
30061	2
162	2
27292	2
2346	1
80235	1
23500	1
54708	1
3549	1
54658	1
5336	1
6478	1
6602	2
51266	1
337971	1
1300	1
51147	1
1102	1
915	1
860	1
8323	1
7399	1
2232	1
11093	1
51466	1
23539	1
3508	1
29104	1
635	1
7711	1
665	2
2665	2
3703	2
64422	2
247	1
2771	2
54210	1
2842	1
9296	2
57186	2
27300	1
5583	1
1621	1
8573	1
26133	1
30062	1
23171	2
10847	2
7069	1
3020	1
865	2
5965	2
973	1
2547	2
128	2
92906	2
2071	2
8317	1
1259	1
10999	1
7855	1
3362	1
5715	1
4325	1
5883	1
10313	2
7483	1
2041	1
10771	2
2120	1
11213	1
7634	1
3784	1
7184	2
8089	1
327	1
6319	2
11112	2
7189	1
5912	1
10369	1
7704	2
116173	1
5547	2
9167	2
142678	1
85477	1
5036	1
9789	1
5116	2
8908	1
2915	1
4728	1
5927	2
63948	1
5378	1
10234	1
5606	1
84515	1
3612	2
9670	1
79711	1
9792	1
1660	2
5917	2
10287	1
319	1
148213	1
78986	1
81537	2
1896	1
3902	1
3761	1
7059	1
284904	1
56479	1
150094	1
6584	1
3028	1
5536	2
63973	1
5357	1
653404	1
64802	1
5139	1
3750	1
59341	1
6899	1
92483	1
57494	1
84618	1
813	2
3092	1
163126	1
10423	1
93587	1
262	2
4700	2
84231	1
25806	1
29956	2
6633	2
4640	1
23495	1
5832	2
8452	2
301	2
2980	1
9525	2
4887	1
55825	1
64983	2
2330	2
84914	1
83932	1
5009	1
84548	1
4285	1
2353	2
8355	1
140564	1
518	2
80243	2
79645	1
7554	1
5024	1
79862	1
22894	1
7421	1
4173	1
30835	1
3000	1
9540	1
445	2
256297	1
7096	1
29994	2
3021	2
2139	1
90427	1
1584	1
11232	1
79345	1
6624	1
1462	2
90411	2
51479	1
4719	2
59269	1
57677	1
781	2
1140	1
7528	2
89870	1
64780	1
7185	1
1956	2
9560	1
2048	1
1107	2
2168	2
5997	2
2775	1
134864	1
8364	2
55103	2
2841	1
7862	1
2810	1
2250	1
269	1
9372	2
3751	1
2628	2
5605	2
54751	1
5653	1
115	1
10556	1
10425	2
51561	1
1889	2
55664	2
404672	1
1646	1
6527	1
7533	2
2651	1
9600	1
348	2
79589	1
2068	1
23438	2
3416	2
1780	1
88	2
80310	1
3950	1
7124	1
64089	1
85406	1
22853	1
83660	1
65057	1
786	1
6649	1
7555	2
5611	2
66035	1
4869	2
11043	1
2597	2
51194	2
8840	1
1353	1
10527	2
3398	1
89781	1
3609	2
2161	1
4121	2
10381	1
5457	1
8021	2
9232	1
9986	1
10972	2
6161	2
3219	1
7386	2
65982	1
51117	1
11155	1
7423	2
2941	2
84918	2
5681	1
51253	2
5426	1
10144	1
5476	2
79139	2
79884	1
254359	1
83896	1
22938	2
27332	2
6352	1
26188	1
